Year,IndiaAreaWeighted_tmin_C,ValidDays,IndiaAreaWeighted_tmax_C,DTR_C
1951,71.10988519808787,365,75.3563118090966,4.246426611008729
1952,71.1668248443534,366,75.36716620682907,4.200341362475669
1953,71.24523021365366,365,75.3267593332263,4.08152911957265
1954,71.13533246252798,365,75.18378258254603,4.048450120018046
1955,70.79140412264407,365,74.91227000788894,4.120865885244868
1956,70.75356583745511,366,74.78514800979809,4.031582172342979
1957,71.02015991806198,365,75.13325574100138,4.1130958229394
1958,71.27168996353532,365,75.31699425745698,4.04530429392166
1959,70.91127076731232,365,74.97743704083109,4.066166273518775
1960,71.00540792620548,366,75.29186537928096,4.286457453075485
1961,70.88506554816486,365,74.91958879323984,4.034523245074979
1962,70.73496802615814,365,74.96399193534754,4.229023909189394
1963,70.8225134164227,365,75.0411782234648,4.218664807042103
1964,70.82318421902335,366,75.17714507731829,4.35396085829494
1965,70.73991201896051,365,75.19512284320668,4.455210824246166
1966,70.77899605489431,365,75.26460467981806,4.485608624923756
1967,70.54224829984666,365,74.92170661780526,4.379458317958594
1968,70.46346909221626,366,74.87071057080976,4.407241478593505
1969,69.04225165288427,365,73.68448545823132,4.642233805347047
1970,68.52050462886466,365,73.13220207088936,4.611697442024706
1971,68.39424341790156,365,72.97915225007714,4.5849088321755715
1972,68.47813638073926,366,73.23407386617646,4.755937485437201
1973,68.65828000637842,365,73.18844157609068,4.530161569712263
1974,68.45094595618744,365,73.21694003927327,4.765994083085829
1975,68.41247897599237,365,73.00930502881074,4.596826052818372
1976,68.5752469145358,366,73.18202162810334,4.606774713567546
1977,68.64856065595873,365,73.1569238478127,4.508363191853974
1978,68.57092601125886,365,73.0392897801984,4.46836376893954
1979,68.74397241326794,365,73.3288068166128,4.584834403344857
1980,68.71043613675491,366,73.27995340469231,4.5695172679374
1981,68.61470806379177,365,73.15712108024587,4.5424130164541054
1982,68.5924386220978,365,73.09149924987172,4.499060627773915
1983,68.44030117289198,365,73.00899589256962,4.568694719677637
1984,68.69975963585956,366,73.31587898361907,4.616119347759508
1985,68.94642860586421,365,73.56141176554532,4.614983159681103
1986,68.69121363418907,365,73.27923225814904,4.588018623959968
1987,68.84749326080147,365,73.54785292851834,4.700359667716867
1988,68.77581755461654,366,73.39434745801985,4.618529903403314
1989,68.5225426579796,365,73.222741194307,4.700198536327406
1990,69.54747515610268,365,73.86374441601191,4.316269259909234
1991,68.86383184115017,365,73.45646818602093,4.592636344870755
1992,68.68406894344184,366,73.36436736424368,4.680298420801833
1993,69.17610949315508,365,73.79142653031984,4.615317037164758
1994,69.16136030619312,365,73.6670419474712,4.505681641278088
1995,70.02149562203873,365,74.38548312242999,4.363987500391261
1996,69.94720070125047,366,74.38235660030671,4.435155899056241
1997,69.26806841098717,365,73.55474911003557,4.286680699048404
1998,69.54195266463502,365,73.80874036892381,4.266787704288788
1999,70.50695638165581,365,74.85321730330512,4.3462609216493036
2000,69.4265653702344,366,73.94914102995332,4.522575659718925
2001,69.35519466911846,365,73.85207889753187,4.496884228413407
2002,69.53397257926174,365,74.05601657215082,4.522043992889081
2003,69.05566636779564,365,73.48038663751586,4.4247202697202255
2004,69.2920389840108,366,73.84349350880174,4.551454524790941
2005,69.21706342204256,365,73.76434913433567,4.547285712293117
2006,68.87571408191609,365,73.44712239967672,4.571408317760628
2007,69.13259704211842,365,73.6573740537378,4.524777011619378
2008,69.18631073807761,366,73.69373860458222,4.507427866504614
2009,69.77158263011032,365,74.3435645326318,4.571981902521486
2010,69.63551920036336,365,74.11163737028046,4.4761181699171
2011,69.22666737805469,365,73.82076560496267,4.594098226907988
2012,69.14859426866889,366,73.79627903080802,4.647684762139136
2013,69.27421652582218,365,73.75535766901376,4.481141143191579
2014,69.18565871757163,365,73.74416619857593,4.558507481004298
2015,69.33061751651543,365,73.84384431399431,4.513226797478879
2016,69.38362826745609,366,74.00961953782893,4.625991270372836
2017,69.32729852326533,365,73.91647358229001,4.589175059024683
2018,69.24920239864161,365,73.99263562573137,4.743433227089753
2019,69.34634822783376,365,73.74894348948035,4.402595261646596
2020,69.25345125525264,366,73.65613903245429,4.402687777201649
2021,69.3476793386356,365,73.73015146188699,4.3824721232513895
2022,69.35379943501161,365,73.79014240221449,4.436342967202876
2023,69.3253506949413,365,73.76936500191488,4.444014306973571
2024,69.52778710199902,366,73.81252845499733,4.28474135299831
