Year,IndiaAreaWeighted_tmax_C,ValidDays
1951,75.3563118090966,365
1952,75.36716620682907,366
1953,75.3267593332263,365
1954,75.18378258254603,365
1955,74.91227000788894,365
1956,74.78514800979809,366
1957,75.13325574100138,365
1958,75.31699425745698,365
1959,74.97743704083109,365
1960,75.29186537928096,366
1961,74.91958879323984,365
1962,74.96399193534754,365
1963,75.0411782234648,365
1964,75.17714507731829,366
1965,75.19512284320668,365
1966,75.26460467981806,365
1967,74.92170661780526,365
1968,74.87071057080976,366
1969,73.68448545823132,365
1970,73.13220207088936,365
1971,72.97915225007714,365
1972,73.23407386617646,366
1973,73.18844157609068,365
1974,73.21694003927327,365
1975,73.00930502881074,365
1976,73.18202162810334,366
1977,73.1569238478127,365
1978,73.0392897801984,365
1979,73.3288068166128,365
1980,73.27995340469231,366
1981,73.15712108024587,365
1982,73.09149924987172,365
1983,73.00899589256962,365
1984,73.31587898361907,366
1985,73.56141176554532,365
1986,73.27923225814904,365
1987,73.54785292851834,365
1988,73.39434745801985,366
1989,73.222741194307,365
1990,73.86374441601191,365
1991,73.45646818602093,365
1992,73.36436736424368,366
1993,73.79142653031984,365
1994,73.6670419474712,365
1995,74.38548312242999,365
1996,74.38235660030671,366
1997,73.55474911003557,365
1998,73.80874036892381,365
1999,74.85321730330512,365
2000,73.94914102995332,366
2001,73.85207889753187,365
2002,74.05601657215082,365
2003,73.48038663751586,365
2004,73.84349350880174,366
2005,73.76434913433567,365
2006,73.44712239967672,365
2007,73.6573740537378,365
2008,73.69373860458222,366
2009,74.3435645326318,365
2010,74.11163737028046,365
2011,73.82076560496267,365
2012,73.79627903080802,366
2013,73.75535766901376,365
2014,73.74416619857593,365
2015,73.84384431399431,365
2016,74.00961953782893,366
2017,73.91647358229001,365
2018,73.99263562573137,365
2019,73.74894348948035,365
2020,73.65613903245429,366
2021,73.73015146188699,365
2022,73.79014240221449,365
2023,73.76936500191488,365
2024,73.81252845499733,366
