Date,IndiaAreaWeighted_tmax_C,Year,Month
1951-01-01,72.80649781047897,1951,1
1951-01-02,72.8388958911897,1951,1
1951-01-03,72.84793427688938,1951,1
1951-01-04,72.90855827590354,1951,1
1951-01-05,72.93293847091567,1951,1
1951-01-06,72.94746050042208,1951,1
1951-01-07,73.00491538805906,1951,1
1951-01-08,72.8667697743381,1951,1
1951-01-09,73.04992307855838,1951,1
1951-01-10,73.15113614891384,1951,1
1951-01-11,73.288723383074,1951,1
1951-01-12,73.3036202524708,1951,1
1951-01-13,73.38094883334641,1951,1
1951-01-14,73.09068043082509,1951,1
1951-01-15,73.22789455307354,1951,1
1951-01-16,73.09924063302219,1951,1
1951-01-17,72.79103532373216,1951,1
1951-01-18,72.74620354914852,1951,1
1951-01-19,72.89655948786253,1951,1
1951-01-20,72.87634161306187,1951,1
1951-01-21,72.5533022939359,1951,1
1951-01-22,72.56582904266412,1951,1
1951-01-23,72.61931892459432,1951,1
1951-01-24,72.66384061529567,1951,1
1951-01-25,72.84656759609126,1951,1
1951-01-26,73.07899180050855,1951,1
1951-01-27,73.33438700396134,1951,1
1951-01-28,73.57748840817644,1951,1
1951-01-29,73.59697265609218,1951,1
1951-01-30,73.58382870746522,1951,1
1951-01-31,73.42391946053766,1951,1
1951-02-01,73.28487361907438,1951,2
1951-02-02,73.18287717910309,1951,2
1951-02-03,72.81987969014568,1951,2
1951-02-04,72.79204607866683,1951,2
1951-02-05,72.94079551613149,1951,2
1951-02-06,72.92762197472005,1951,2
1951-02-07,73.08206477250872,1951,2
1951-02-08,73.56198644037948,1951,2
1951-02-09,73.97565802128342,1951,2
1951-02-10,74.19282642455262,1951,2
1951-02-11,74.00013987940305,1951,2
1951-02-12,73.80744833460403,1951,2
1951-02-13,73.79570331650007,1951,2
1951-02-14,74.03245528740514,1951,2
1951-02-15,73.99132448860087,1951,2
1951-02-16,73.75776270073341,1951,2
1951-02-17,74.07813659995632,1951,2
1951-02-18,74.38137715502756,1951,2
1951-02-19,74.81705049311732,1951,2
1951-02-20,74.98785213530141,1951,2
1951-02-21,75.01299189457252,1951,2
1951-02-22,75.24466940611029,1951,2
1951-02-23,75.41181421320033,1951,2
1951-02-24,75.54848665018902,1951,2
1951-02-25,75.43930962858322,1951,2
1951-02-26,75.47002026116688,1951,2
1951-02-27,75.46790786992896,1951,2
1951-02-28,75.50624845177555,1951,2
1951-03-01,75.71277880587387,1951,3
1951-03-02,75.8300785134198,1951,3
1951-03-03,75.79782523454601,1951,3
1951-03-04,75.72431103812833,1951,3
1951-03-05,75.80586898931105,1951,3
1951-03-06,76.07216486983134,1951,3
1951-03-07,76.16707806140658,1951,3
1951-03-08,76.21304652665567,1951,3
1951-03-09,76.1456707309861,1951,3
1951-03-10,75.93028732968915,1951,3
1951-03-11,75.90930023982986,1951,3
1951-03-12,75.83035049006673,1951,3
1951-03-13,75.54952879621968,1951,3
1951-03-14,75.62832731093097,1951,3
1951-03-15,75.75084729679007,1951,3
1951-03-16,76.12934233336594,1951,3
1951-03-17,76.10229897292,1951,3
1951-03-18,76.07032573298302,1951,3
1951-03-19,75.81761800745865,1951,3
1951-03-20,75.25493585455328,1951,3
1951-03-21,75.16697972046055,1951,3
1951-03-22,75.27909964209489,1951,3
1951-03-23,75.42182062981422,1951,3
1951-03-24,75.51873428281978,1951,3
1951-03-25,75.10637768023011,1951,3
1951-03-26,74.2413654935679,1951,3
1951-03-27,74.1246890608859,1951,3
1951-03-28,74.72024560022787,1951,3
1951-03-29,74.8932106360712,1951,3
1951-03-30,74.73565922594418,1951,3
1951-03-31,74.50803806759411,1951,3
1951-04-01,74.55889424595881,1951,4
1951-04-02,74.94656311569526,1951,4
1951-04-03,75.23242821143275,1951,4
1951-04-04,75.19320390919503,1951,4
1951-04-05,75.634033537413,1951,4
1951-04-06,76.01174551912163,1951,4
1951-04-07,76.11409711418017,1951,4
1951-04-08,75.84478574832302,1951,4
1951-04-09,75.94745929350319,1951,4
1951-04-10,75.8462494074211,1951,4
1951-04-11,75.85001954447037,1951,4
1951-04-12,76.05633373192936,1951,4
1951-04-13,76.204022435505,1951,4
1951-04-14,76.5319823349548,1951,4
1951-04-15,76.88995516515263,1951,4
1951-04-16,77.0329492636568,1951,4
1951-04-17,76.93450725345959,1951,4
1951-04-18,76.96353851300825,1951,4
1951-04-19,76.67037284108413,1951,4
1951-04-20,76.10078405360902,1951,4
1951-04-21,75.82259271401328,1951,4
1951-04-22,76.19010621971974,1951,4
1951-04-23,76.36578357074897,1951,4
1951-04-24,76.62039181562581,1951,4
1951-04-25,76.64900042543657,1951,4
1951-04-26,76.7216406684841,1951,4
1951-04-27,76.92877538946185,1951,4
1951-04-28,76.9681990145615,1951,4
1951-04-29,77.07866541347401,1951,4
1951-04-30,76.95890071520857,1951,4
1951-05-01,76.84861702897929,1951,5
1951-05-02,76.4369366979839,1951,5
1951-05-03,76.44718078839843,1951,5
1951-05-04,76.69898144328168,1951,5
1951-05-05,76.80039477283482,1951,5
1951-05-06,77.05110515516168,1951,5
1951-05-07,77.45698165971629,1951,5
1951-05-08,77.63694117385988,1951,5
1951-05-09,77.78817610346593,1951,5
1951-05-10,77.53848702518263,1951,5
1951-05-11,77.6799860438159,1951,5
1951-05-12,77.89204317375402,1951,5
1951-05-13,77.87176375903564,1951,5
1951-05-14,77.88395006626172,1951,5
1951-05-15,77.4733629528125,1951,5
1951-05-16,77.62592325688297,1951,5
1951-05-17,77.74954321826853,1951,5
1951-05-18,78.07880444812095,1951,5
1951-05-19,78.00082042499139,1951,5
1951-05-20,78.14927318227241,1951,5
1951-05-21,78.05308774889012,1951,5
1951-05-22,77.85374621725408,1951,5
1951-05-23,77.49757382868569,1951,5
1951-05-24,77.25039718274456,1951,5
1951-05-25,77.04530753197864,1951,5
1951-05-26,77.16957089822326,1951,5
1951-05-27,77.34145484029895,1951,5
1951-05-28,77.18625305193707,1951,5
1951-05-29,77.25026133993428,1951,5
1951-05-30,77.15393513980918,1951,5
1951-05-31,77.06343675846234,1951,5
1951-06-01,76.71861761392054,1951,6
1951-06-02,76.65133009087023,1951,6
1951-06-03,76.64984849471182,1951,6
1951-06-04,76.83460935818611,1951,6
1951-06-05,76.879425527952,1951,6
1951-06-06,76.84458686001847,1951,6
1951-06-07,77.02283915034266,1951,6
1951-06-08,77.31222391143393,1951,6
1951-06-09,77.4087344278711,1951,6
1951-06-10,77.30938660190199,1951,6
1951-06-11,77.26642293980785,1951,6
1951-06-12,77.28962577070658,1951,6
1951-06-13,77.07862147027272,1951,6
1951-06-14,76.78047697793338,1951,6
1951-06-15,76.5538618645053,1951,6
1951-06-16,76.06670003174703,1951,6
1951-06-17,76.33904491202715,1951,6
1951-06-18,76.75487777836773,1951,6
1951-06-19,76.93497234684888,1951,6
1951-06-20,76.93548604348074,1951,6
1951-06-21,76.7654351712123,1951,6
1951-06-22,76.84864758240981,1951,6
1951-06-23,76.86197308752335,1951,6
1951-06-24,76.84787717387677,1951,6
1951-06-25,76.72609784237378,1951,6
1951-06-26,76.6173276474482,1951,6
1951-06-27,76.24308275771605,1951,6
1951-06-28,75.87367987168128,1951,6
1951-06-29,76.082230372704,1951,6
1951-06-30,76.09284181676412,1951,6
1951-07-01,75.64361678925113,1951,7
1951-07-02,75.7898257180084,1951,7
1951-07-03,75.94447969276673,1951,7
1951-07-04,75.53149299596676,1951,7
1951-07-05,75.83292314307278,1951,7
1951-07-06,76.07603134235984,1951,7
1951-07-07,76.10853487750853,1951,7
1951-07-08,76.12459351463431,1951,7
1951-07-09,76.1371623737096,1951,7
1951-07-10,76.16468801256052,1951,7
1951-07-11,76.55528526778114,1951,7
1951-07-12,76.4319248934414,1951,7
1951-07-13,75.90294924748991,1951,7
1951-07-14,75.86266624649777,1951,7
1951-07-15,76.19940805186623,1951,7
1951-07-16,76.3008249752924,1951,7
1951-07-17,76.13431515827817,1951,7
1951-07-18,76.11546259232026,1951,7
1951-07-19,75.88583218014178,1951,7
1951-07-20,75.67347265691392,1951,7
1951-07-21,75.56343269746533,1951,7
1951-07-22,75.68722264381859,1951,7
1951-07-23,75.8300920728391,1951,7
1951-07-24,75.88499706000658,1951,7
1951-07-25,75.97367517125251,1951,7
1951-07-26,75.6731195465543,1951,7
1951-07-27,75.36357204141369,1951,7
1951-07-28,75.42690139280967,1951,7
1951-07-29,75.44148112027082,1951,7
1951-07-30,75.10168963814989,1951,7
1951-07-31,75.07050396088775,1951,7
1951-08-01,75.0994618826372,1951,8
1951-08-02,75.10579368858275,1951,8
1951-08-03,75.39697196926473,1951,8
1951-08-04,75.27889660398144,1951,8
1951-08-05,75.2376242047659,1951,8
1951-08-06,75.28842531248904,1951,8
1951-08-07,75.26366308021984,1951,8
1951-08-08,75.04251999562072,1951,8
1951-08-09,75.23117326425286,1951,8
1951-08-10,75.39346866207103,1951,8
1951-08-11,75.33390623205064,1951,8
1951-08-12,75.20611138155719,1951,8
