Year,Season,IndiaAreaWeighted_tmax_C,ValidDays
1951,Winter,73.58325512995509,59
1951,PreMonsoon,76.39130960080202,92
1951,Monsoon,75.91509633425422,122
1951,PostMonsoon,74.71738610434899,92
1952,Winter,74.03292824735486,60
1952,PreMonsoon,76.5649617322607,92
1952,Monsoon,75.6913382485844,122
1952,PostMonsoon,74.60964555611808,92
1953,Winter,73.73762499611104,59
1953,PreMonsoon,76.70610444396505,92
1953,Monsoon,75.5913155780054,122
1953,PostMonsoon,74.61570839669137,92
1954,Winter,73.5878317784531,59
1954,PreMonsoon,76.58813567020985,92
1954,Monsoon,75.60228442677301,122
1954,PostMonsoon,74.24794984755384,92
1955,Winter,73.38636136368721,59
1955,PreMonsoon,76.37907510198174,92
1955,Monsoon,75.33760822674515,122
1955,PostMonsoon,73.86000129757267,92
1956,Winter,73.34442677111464,60
1956,PreMonsoon,76.44470038933375,92
1956,Monsoon,75.07831531943442,122
1956,PostMonsoon,73.67643109271216,92
1957,Winter,73.25908587047478,59
1957,PreMonsoon,76.25093047671513,92
1957,Monsoon,75.68192698075012,122
1957,PostMonsoon,74.48990851737159,92
1958,Winter,73.81346564378235,59
1958,PreMonsoon,76.74333296022124,92
1958,Monsoon,75.74931272749757,122
1958,PostMonsoon,74.28158310753889,92
1959,Winter,73.38102549005518,59
1959,PreMonsoon,76.49367373156186,92
1959,Monsoon,75.28131311419291,122
1959,PostMonsoon,74.08201992124859,92
1960,Winter,73.87280455294896,60
1960,PreMonsoon,76.47148767431852,92
1960,Monsoon,75.71368778715248,122
1960,PostMonsoon,74.47834434315203,92
1961,Winter,73.34128928252171,59
1961,PreMonsoon,76.53527476843676,92
1961,Monsoon,75.27025507530824,122
1961,PostMonsoon,73.85105917369535,92
1962,Winter,73.28512763592431,59
1962,PreMonsoon,76.28367947201411,92
1962,Monsoon,75.42814976832518,122
1962,PostMonsoon,74.10545372523197,92
1963,Winter,73.73005269243848,59
1963,PreMonsoon,76.22180030384368,92
1963,Monsoon,75.41679203981921,122
1963,PostMonsoon,74.20329006412194,92
1964,Winter,73.61002491406936,60
1964,PreMonsoon,76.64742434788418,92
1964,Monsoon,75.49213493947683,122
1964,PostMonsoon,74.31119674818277,92
1965,Winter,73.67890022895925,59
1965,PreMonsoon,76.15704501781426,92
1965,Monsoon,75.6797686408716,122
1965,PostMonsoon,74.5628783525717,92
1966,Winter,73.96648833846805,59
1966,PreMonsoon,76.61621194803152,92
1966,Monsoon,75.56475375188235,122
1966,PostMonsoon,74.3474612958199,92
1967,Winter,73.63094348358365,59
1967,PreMonsoon,76.05215011039896,92
1967,Monsoon,75.3390775631658,122
1967,PostMonsoon,74.06556496852771,92
1968,Winter,72.96897390726755,60
1968,PreMonsoon,76.14185426577333,92
1968,Monsoon,75.43529245711224,122
1968,PostMonsoon,74.09114524197263,92
1969,Winter,71.88792155286518,59
1969,PreMonsoon,75.14358390580564,92
1969,Monsoon,74.14127591881532,122
1969,PostMonsoon,72.77178738267168,92
1970,Winter,71.21002249294125,59
1970,PreMonsoon,74.61733563531428,92
1970,Monsoon,73.58306958297152,122
1970,PostMonsoon,72.28188110021358,92
1971,Winter,71.18658362800966,59
1971,PreMonsoon,74.31660230120163,92
1971,Monsoon,73.43317505338617,122
1971,PostMonsoon,72.18921053262962,92
1972,Winter,71.043222157101,60
1972,PreMonsoon,74.55800861704985,92
1972,Monsoon,74.0035009271346,122
1972,PostMonsoon,72.31862825777735,92
1973,Winter,71.47566784204172,59
1973,PreMonsoon,74.8640012724334,92
1973,Monsoon,73.64542758175361,122
1973,PostMonsoon,72.00528794081332,92
1974,Winter,71.17398574900297,59
1974,PreMonsoon,74.71074747304678,92
1974,Monsoon,73.8813763229946,122
1974,PostMonsoon,72.15218778497736,92
1975,Winter,70.94334880693391,59
1975,PreMonsoon,74.6419924675984,92
1975,Monsoon,73.50371768320957,122
1975,PostMonsoon,72.04589012539348,92
1976,Winter,71.24018930323636,60
1976,PreMonsoon,74.43691927907352,92
1976,Monsoon,73.6600660239124,122
1976,PostMonsoon,72.55960792499525,92
1977,Winter,71.44132439739893,59
1977,PreMonsoon,74.45067964064383,92
1977,Monsoon,73.59006589395287,122
1977,PostMonsoon,72.38900542395238,92
1978,Winter,70.94406416003513,59
1978,PreMonsoon,74.43735805744798,92
1978,Monsoon,73.54370752169636,122
1978,PostMonsoon,72.31599701519757,92
1979,Winter,71.1918940752937,59
1979,PreMonsoon,74.51171931659196,92
1979,Monsoon,74.12113660371091,122
1979,PostMonsoon,72.46560755263208,92
1980,Winter,71.43774521016331,60
1980,PreMonsoon,74.76431976608676,92
1980,Monsoon,73.6911487758462,122
1980,PostMonsoon,72.45174635189531,92
1981,Winter,71.38609403582284,59
1981,PreMonsoon,74.387962739959,92
1981,Monsoon,73.83210198340507,122
1981,PostMonsoon,72.16696339265818,92
1982,Winter,71.09510151683801,59
1982,PreMonsoon,73.99747689355408,92
1982,Monsoon,73.96294276070614,122
1982,PostMonsoon,72.31021027931094,92
1983,Winter,71.0055054037475,59
1983,PreMonsoon,74.08165463585358,92
1983,Monsoon,73.85372494119028,122
1983,PostMonsoon,72.10100013742458,92
1984,Winter,70.9916451000958,60
1984,PreMonsoon,75.04800285934259,92
1984,Monsoon,73.75830571539336,122
1984,PostMonsoon,72.5128634963187,92
1985,Winter,71.69406885651344,59
1985,PreMonsoon,75.16827603560502,92
1985,Monsoon,73.99679500092977,122
1985,PostMonsoon,72.57472659239836,92
1986,Winter,71.2221368785498,59
1986,PreMonsoon,74.58857363867493,92
1986,Monsoon,73.95217193903144,122
1986,PostMonsoon,72.39673855510901,92
1987,Winter,71.78802444322439,59
1987,PreMonsoon,74.49219195790236,92
1987,Monsoon,74.41830444173709,122
1987,PostMonsoon,72.57780516021748,92
1988,Winter,71.76302158887529,60
1988,PreMonsoon,74.78250817705143,92
1988,Monsoon,73.81832529448313,122
1988,PostMonsoon,72.50786343572906,92
1989,Winter,71.32496000479006,59
1989,PreMonsoon,74.57586048177129,92
1989,Monsoon,73.72918440547416,122
1989,PostMonsoon,72.41508949835477,92
1990,Winter,72.56304800348667,59
1990,PreMonsoon,74.88260248789113,92
