Year,IndiaAreaWeighted_tmin_C,ValidDays
1951,71.10988519808787,365
1952,71.1668248443534,366
1953,71.24523021365366,365
1954,71.13533246252798,365
1955,70.79140412264407,365
1956,70.75356583745511,366
1957,71.02015991806198,365
1958,71.27168996353532,365
1959,70.91127076731232,365
1960,71.00540792620548,366
1961,70.88506554816486,365
1962,70.73496802615814,365
1963,70.8225134164227,365
1964,70.82318421902335,366
1965,70.73991201896051,365
1966,70.77899605489431,365
1967,70.54224829984666,365
1968,70.46346909221626,366
1969,69.04225165288427,365
1970,68.52050462886466,365
1971,68.39424341790156,365
1972,68.47813638073926,366
1973,68.65828000637842,365
1974,68.45094595618744,365
1975,68.41247897599237,365
1976,68.5752469145358,366
1977,68.64856065595873,365
1978,68.57092601125886,365
1979,68.74397241326794,365
1980,68.71043613675491,366
1981,68.61470806379177,365
1982,68.5924386220978,365
1983,68.44030117289198,365
1984,68.69975963585956,366
1985,68.94642860586421,365
1986,68.69121363418907,365
1987,68.84749326080147,365
1988,68.77581755461654,366
1989,68.5225426579796,365
1990,69.54747515610268,365
1991,68.86383184115017,365
1992,68.68406894344184,366
1993,69.17610949315508,365
1994,69.16136030619312,365
1995,70.02149562203873,365
1996,69.94720070125047,366
1997,69.26806841098717,365
1998,69.54195266463502,365
1999,70.50695638165581,365
2000,69.4265653702344,366
2001,69.35519466911846,365
2002,69.53397257926174,365
2003,69.05566636779564,365
2004,69.2920389840108,366
2005,69.21706342204256,365
2006,68.87571408191609,365
2007,69.13259704211842,365
2008,69.18631073807761,366
2009,69.77158263011032,365
2010,69.63551920036336,365
2011,69.22666737805469,365
2012,69.14859426866889,366
2013,69.27421652582218,365
2014,69.18565871757163,365
2015,69.33061751651543,365
2016,69.38362826745609,366
2017,69.32729852326533,365
2018,69.24920239864161,365
2019,69.34634822783376,365
2020,69.25345125525264,366
2021,69.3476793386356,365
2022,69.35379943501161,365
2023,69.3253506949413,365
2024,69.52778710199902,366
