Date,IndiaAreaWeighted_tmin_C,Year,Month
1951-01-01,67.6711162681257,1951,1
1951-01-02,67.51134440489503,1951,1
1951-01-03,67.43508779343838,1951,1
1951-01-04,67.50756028830907,1951,1
1951-01-05,67.72028266288366,1951,1
1951-01-06,68.02938164457322,1951,1
1951-01-07,68.08454856532538,1951,1
1951-01-08,68.0372543526246,1951,1
1951-01-09,67.95093197833828,1951,1
1951-01-10,67.9418713235568,1951,1
1951-01-11,67.96490096337729,1951,1
1951-01-12,68.12739266450681,1951,1
1951-01-13,68.46879801668663,1951,1
1951-01-14,68.4505876641753,1951,1
1951-01-15,68.58178699217778,1951,1
1951-01-16,68.71473879869957,1951,1
1951-01-17,68.4437062111258,1951,1
1951-01-18,68.18543205948717,1951,1
1951-01-19,68.34366365920299,1951,1
1951-01-20,68.39390885432914,1951,1
1951-01-21,68.14946562167935,1951,1
1951-01-22,67.96207707546631,1951,1
1951-01-23,67.76261718286474,1951,1
1951-01-24,67.76059772002428,1951,1
1951-01-25,67.6994955582224,1951,1
1951-01-26,67.80976804080319,1951,1
1951-01-27,67.84668099389476,1951,1
1951-01-28,67.84851853904301,1951,1
1951-01-29,68.00255049897858,1951,1
1951-01-30,68.18832917763514,1951,1
1951-01-31,68.31095619310413,1951,1
1951-02-01,68.39073306770798,1951,2
1951-02-02,67.90732863061614,1951,2
1951-02-03,67.5385664980189,1951,2
1951-02-04,67.8426092691395,1951,2
1951-02-05,68.3567718238057,1951,2
1951-02-06,68.15074527434426,1951,2
1951-02-07,68.41070569388772,1951,2
1951-02-08,68.58902971092681,1951,2
1951-02-09,68.88657534667533,1951,2
1951-02-10,69.04551935253146,1951,2
1951-02-11,68.70720264747497,1951,2
1951-02-12,68.46861364830836,1951,2
1951-02-13,68.32162704127413,1951,2
1951-02-14,68.38887471399187,1951,2
1951-02-15,68.23017485492613,1951,2
1951-02-16,68.05796663248447,1951,2
1951-02-17,68.36867490676079,1951,2
1951-02-18,68.56781343090131,1951,2
1951-02-19,68.83883558565552,1951,2
1951-02-20,68.95036960823691,1951,2
1951-02-21,68.9641141509419,1951,2
1951-02-22,69.00054564939666,1951,2
1951-02-23,69.26519641720851,1951,2
1951-02-24,69.29473194362127,1951,2
1951-02-25,69.46675346683838,1951,2
1951-02-26,69.4848804477039,1951,2
1951-02-27,69.51911894270077,1951,2
1951-02-28,69.50222799415741,1951,2
1951-03-01,69.54414138520679,1951,3
1951-03-02,69.74442291583071,1951,3
1951-03-03,69.8188581869767,1951,3
1951-03-04,69.82689665995183,1951,3
1951-03-05,69.94474864617463,1951,3
1951-03-06,70.23340442629117,1951,3
1951-03-07,70.47120860797308,1951,3
1951-03-08,70.4550932759301,1951,3
1951-03-09,70.67301481423635,1951,3
1951-03-10,70.81016416156226,1951,3
1951-03-11,70.7122711155921,1951,3
1951-03-12,70.47835138136264,1951,3
1951-03-13,70.14353071539101,1951,3
1951-03-14,70.1896088017763,1951,3
1951-03-15,70.17720352290688,1951,3
1951-03-16,70.48149563476633,1951,3
1951-03-17,70.64127967868261,1951,3
1951-03-18,70.81438642200615,1951,3
1951-03-19,71.04986488543356,1951,3
1951-03-20,70.6539320761174,1951,3
1951-03-21,70.36149500080205,1951,3
1951-03-22,70.51157753567831,1951,3
1951-03-23,70.7859762383072,1951,3
1951-03-24,71.108822687251,1951,3
1951-03-25,70.7237616140415,1951,3
1951-03-26,70.3823253632943,1951,3
1951-03-27,70.58396111102849,1951,3
1951-03-28,70.74580717101941,1951,3
1951-03-29,70.70667909787583,1951,3
1951-03-30,70.66873657734024,1951,3
1951-03-31,70.38697581785162,1951,3
1951-04-01,70.61858969243727,1951,4
1951-04-02,70.92655494786709,1951,4
1951-04-03,70.95689433115552,1951,4
1951-04-04,71.09441164379783,1951,4
1951-04-05,71.23139574228377,1951,4
1951-04-06,71.62988470635447,1951,4
1951-04-07,71.44301836613742,1951,4
1951-04-08,71.27020304258782,1951,4
