Year,Season,IndiaAreaWeighted_tmin_C,ValidDays
1951,Winter,68.32918065284392,59
1951,PreMonsoon,71.63136947631502,92
1951,Monsoon,72.82706076949526,122
1951,PostMonsoon,70.09455470744435,92
1952,Winter,68.9051494461306,60
1952,PreMonsoon,71.90611059934345,92
1952,Monsoon,72.76495403325687,122
1952,PostMonsoon,69.78328651161492,92
1953,Winter,68.8695082535138,59
1953,PreMonsoon,72.13892093822027,92
1953,Monsoon,72.85014967483215,122
1953,PostMonsoon,69.74683754761395,92
1954,Winter,68.75290134522652,59
1954,PreMonsoon,71.9730656245943,92
1954,Monsoon,72.89109274736929,122
1954,PostMonsoon,69.4971719218763,92
1955,Winter,68.50675390025958,59
1955,PreMonsoon,71.45004344859413,92
1955,Monsoon,72.45996366984005,122
1955,PostMonsoon,69.38526586585458,92
1956,Winter,68.21161073247178,60
1956,PreMonsoon,71.64480802264772,92
1956,Monsoon,72.30376624163092,122
1956,PostMonsoon,69.46441992388806,92
1957,Winter,68.51452699700124,59
1957,PreMonsoon,71.55447167040462,92
1957,Monsoon,72.66474829460779,122
1957,PostMonsoon,69.91185425706708,92
1958,Winter,68.79768191064487,59
1958,PreMonsoon,71.94428334992297,92
1958,Monsoon,72.83691853848923,122
1958,PostMonsoon,70.11005950080157,92
1959,Winter,68.71386975098459,59
1959,PreMonsoon,71.54059820307013,92
1959,Monsoon,72.4476064306846,122
1959,PostMonsoon,69.6538314732058,92
1960,Winter,68.5857514928557,60
1960,PreMonsoon,71.57555580370197,92
1960,Monsoon,72.72951611813278,122
1960,PostMonsoon,69.72697946812046,92
1961,Winter,68.64249233600614,59
1961,PreMonsoon,71.60431115938228,92
1961,Monsoon,72.49476142075973,122
1961,PostMonsoon,69.4693951876082,92
1962,Winter,68.22755048649856,59
1962,PreMonsoon,71.41136500969814,92
1962,Monsoon,72.3871183068059,122
1962,PostMonsoon,69.47569387523649,92
1963,Winter,68.37388550959867,59
1963,PreMonsoon,71.3732739609009,92
1963,Monsoon,72.34582110096645,122
1963,PostMonsoon,69.82203014355628,92
1964,Winter,68.46490035471034,60
1964,PreMonsoon,71.56194452753888,92
1964,Monsoon,72.44363976376785,122
1964,PostMonsoon,69.4735701648551,92
1965,Winter,68.58788280398835,59
1965,PreMonsoon,71.19571544290581,92
1965,Monsoon,72.27279262401788,122
1965,PostMonsoon,69.63148131095393,92
1966,Winter,68.73932152520071,59
1966,PreMonsoon,71.42571431161198,92
1966,Monsoon,72.24876757205163,122
1966,PostMonsoon,69.49128510424977,92
1967,Winter,68.0716846254605,59
1967,PreMonsoon,71.04817518922422,92
1967,Monsoon,72.16228288388425,122
1967,PostMonsoon,69.47239790542774,92
1968,Winter,68.18962897518848,60
1968,PreMonsoon,71.06094495982538,92
1968,Monsoon,72.1378373529581,122
1968,PostMonsoon,69.12857452038057,92
1969,Winter,66.20872242732507,59
1969,PreMonsoon,69.80772333228208,92
1969,Monsoon,70.79118358597273,122
1969,PostMonsoon,67.77469876121695,92
1970,Winter,65.97615579129318,59
1970,PreMonsoon,69.37292778376197,92
1970,Monsoon,70.39286314129339,122
1970,PostMonsoon,66.81687324462398,92
1971,Winter,65.65315511717031,59
1971,PreMonsoon,69.0471807242394,92
1971,Monsoon,70.22505235606926,122
1971,PostMonsoon,67.07136610381029,92
