Year,Tmin_C,Tmax_C,DTR_C,Days
1951,20.182657534246577,33.64304109589041,13.460383561643836,365
1952,20.318524590163936,33.84270491803279,13.524180327868853,366
1953,20.536575342465753,33.472,12.935424657534247,365
1954,20.103643835616438,32.981890410958904,12.878246575342466,365
1955,20.16723287671233,32.78191780821918,12.614684931506849,365
1956,20.243852459016395,32.66587431693989,12.422021857923497,366
1957,20.245835616438356,33.27616438356164,13.030328767123287,365
1958,20.959972602739725,33.547041095890414,12.587068493150685,365
1959,20.467753424657534,33.26164383561644,12.793890410958905,365
1960,20.051311475409836,33.37196721311475,13.320655737704918,366
1961,20.05876712328767,32.82241095890411,12.76364383561644,365
1962,19.80254794520548,32.81180821917808,13.009260273972602,365
1963,20.111315068493152,33.113342465753426,13.002027397260273,365
1964,20.159754098360658,33.79901639344263,13.639262295081968,366
1965,20.146794520547946,33.8634794520548,13.71668493150685,365
1966,20.56367123287671,34.05583561643835,13.492164383561645,365
1967,20.274164383561644,33.62150684931507,13.347342465753425,365
1968,19.678524590163935,33.12344262295082,13.444918032786886,366
1969,20.521424657534247,34.23893150684931,13.71750684931507,365
1970,19.972465753424657,33.03509589041096,13.0626301369863,365
1971,19.583506849315068,32.97115068493151,13.387643835616437,365
1972,20.3098087431694,33.9618306010929,13.652021857923495,366
1973,20.709095890410957,33.449342465753425,12.740246575342464,365
1974,20.055123287671233,33.61131506849315,13.55619178082192,365
1975,19.63227397260274,32.93369863013699,13.301424657534245,365
1976,20.475218579234973,33.56398907103825,13.088770491803277,366
1977,20.824164383561644,33.44882191780822,12.624657534246575,365
1978,20.334,32.87295890410959,12.53895890410959,365
1979,20.922575342465752,33.73663013698631,12.814054794520548,365
1980,20.90382513661202,33.84754098360656,12.943715846994534,366
1981,20.045424657534248,33.10594520547945,13.060520547945206,365
1982,20.801780821917806,33.489698630136985,12.68791780821918,365
1983,19.817643835616437,33.17394520547945,13.356301369863015,365
1984,20.1822131147541,33.40595628415301,13.223743169398908,366
1985,20.354191780821917,33.70013698630137,13.345945205479453,365
1986,20.520383561643836,33.668,13.147616438356165,365
1987,20.584465753424656,33.54904109589041,12.964575342465753,365
1988,20.584726775956284,33.73617486338798,13.151448087431694,366
1989,19.908356164383562,33.568876712328766,13.660520547945206,365
1990,19.774986301369864,32.43665753424657,12.661671232876714,365
1991,20.25758904109589,33.748602739726024,13.491013698630137,365
1992,19.87450819672131,33.97010928961748,14.095601092896175,366
1993,20.329479452054795,33.480438356164385,13.15095890410959,365
1994,20.23832876712329,32.85282191780822,12.61449315068493,365
1995,20.37709589041096,33.16356164383562,12.78646575342466,365
1996,20.660819672131147,33.842978142076504,13.182158469945355,366
1997,20.519013698630136,33.15087671232877,12.63186301369863,365
1998,20.885561643835615,33.14290410958904,12.257342465753425,365
1999,20.185232876712327,32.983178082191785,12.797945205479452,365
2000,19.781147540983607,33.79707650273224,14.015928961748633,366
2001,20.021835616438356,33.664,13.642164383561644,365
2002,20.527342465753424,34.05153424657534,13.524191780821917,365
2003,20.70104109589041,33.725671232876714,13.024630136986302,365
2004,20.04590163934426,33.91669398907104,13.870792349726775,366
2005,19.758657534246574,33.31104109589041,13.552383561643836,365
2006,20.022328767123287,33.306520547945205,13.284191780821917,365
2007,20.138219178082192,33.50405479452055,13.365835616438355,365
2008,20.262103825136613,33.697377049180325,13.435273224043717,366
2009,21.066410958904108,34.64180821917808,13.575397260273974,365
2010,21.147780821917806,34.083506849315064,12.93572602739726,365
2011,19.502082191780822,33.689945205479454,14.18786301369863,365
2012,20.132513661202186,33.66270491803279,13.530191256830602,366
2013,20.21594520547945,32.80794520547945,12.592,365
2014,20.30823315068493,33.6446997260274,13.336466575342467,365
2015,20.42464383561644,33.85147178082192,13.42682794520548,365
2016,20.334084699453552,34.128117213114756,13.794032513661202,366
2017,20.379801369863014,34.20426438356164,13.82446301369863,365
2018,20.14885917808219,34.11127095890411,13.962411780821919,365
2019,20.505289589041094,33.68215780821918,13.17686821917808,365
2020,20.04471092896175,33.20255218579235,13.157841256830602,366
2021,20.46848493150685,33.27121780821918,12.80273287671233,365
2022,20.591037260273975,33.496761369863016,12.90572410958904,365
2023,19.94388191780822,33.14617095890411,13.202289041095892,365
2024,20.529892896174864,33.50299836065574,12.973105464480875,366
