Date,Tmin_C,Tmax_C,DTR_C,Year,Month,Day
1951-01-01,11.07,26.57,15.5,1951,1,1
1951-01-02,9.05,25.29,16.24,1951,1,2
1951-01-03,9.16,26.06,16.9,1951,1,3
1951-01-04,10.3,26.48,16.18,1951,1,4
1951-01-05,12.47,27.79,15.319999999999999,1951,1,5
1951-01-06,13.59,28.15,14.559999999999999,1951,1,6
1951-01-07,13.61,27.69,14.080000000000002,1951,1,7
1951-01-08,11.97,28.11,16.14,1951,1,8
1951-01-09,11.97,29.03,17.060000000000002,1951,1,9
1951-01-10,12.8,29.37,16.57,1951,1,10
1951-01-11,11.79,29.53,17.740000000000002,1951,1,11
1951-01-12,12.86,30.14,17.28,1951,1,12
1951-01-13,14.8,30.49,15.689999999999998,1951,1,13
1951-01-14,15.86,29.81,13.95,1951,1,14
1951-01-15,16.94,30.32,13.379999999999999,1951,1,15
1951-01-16,16.78,29.68,12.899999999999999,1951,1,16
1951-01-17,14.02,29.03,15.010000000000002,1951,1,17
1951-01-18,12.32,27.95,15.629999999999999,1951,1,18
1951-01-19,15.39,30.03,14.64,1951,1,19
1951-01-20,13.78,27.92,14.140000000000002,1951,1,20
1951-01-21,11.86,27.63,15.77,1951,1,21
1951-01-22,12.8,27.6,14.8,1951,1,22
1951-01-23,12.59,27.35,14.760000000000002,1951,1,23
1951-01-24,13.06,27.98,14.92,1951,1,24
1951-01-25,11.98,28.91,16.93,1951,1,25
1951-01-26,12.24,29.23,16.990000000000002,1951,1,26
1951-01-27,13.03,30.44,17.410000000000004,1951,1,27
1951-01-28,11.5,30.87,19.37,1951,1,28
1951-01-29,12.48,30.69,18.21,1951,1,29
1951-01-30,14.54,30.45,15.91,1951,1,30
1951-01-31,14.13,30.12,15.99,1951,1,31
1951-02-01,13.57,29.9,16.33,1951,2,1
1951-02-02,11.54,28.42,16.880000000000003,1951,2,2
1951-02-03,10.52,28.56,18.04,1951,2,3
1951-02-04,14.54,29.23,14.690000000000001,1951,2,4
1951-02-05,16.89,31.22,14.329999999999998,1951,2,5
1951-02-06,13.11,30.19,17.080000000000002,1951,2,6
1951-02-07,14.52,29.63,15.11,1951,2,7
1951-02-08,15.51,30.42,14.910000000000002,1951,2,8
1951-02-09,14.83,31.76,16.93,1951,2,9
1951-02-10,17.64,33.38,15.740000000000002,1951,2,10
1951-02-11,16.55,33.41,16.859999999999996,1951,2,11
1951-02-12,13.99,32.55,18.559999999999995,1951,2,12
1951-02-13,13.12,32.73,19.61,1951,2,13
1951-02-14,12.26,32.02,19.760000000000005,1951,2,14
1951-02-15,12.09,32.05,19.959999999999997,1951,2,15
1951-02-16,11.44,31.61,20.17,1951,2,16
1951-02-17,13.56,33.03,19.47,1951,2,17
1951-02-18,12.55,33.03,20.48,1951,2,18
1951-02-19,13.37,33.33,19.96,1951,2,19
1951-02-20,14.54,35.24,20.700000000000003,1951,2,20
1951-02-21,14.4,35.83,21.43,1951,2,21
1951-02-22,15.12,36.3,21.18,1951,2,22
1951-02-23,16.66,36.84,20.180000000000003,1951,2,23
1951-02-24,17.02,37.0,19.98,1951,2,24
1951-02-25,17.63,37.33,19.7,1951,2,25
1951-02-26,17.34,37.1,19.76,1951,2,26
1951-02-27,18.96,37.52,18.560000000000002,1951,2,27
1951-02-28,18.05,37.31,19.26,1951,2,28
1951-03-01,17.14,37.21,20.07,1951,3,1
1951-03-02,17.03,37.17,20.14,1951,3,2
1951-03-03,16.8,37.06,20.26,1951,3,3
1951-03-04,17.74,37.42,19.680000000000003,1951,3,4
1951-03-05,18.36,37.23,18.869999999999997,1951,3,5
1951-03-06,18.91,37.79,18.88,1951,3,6
1951-03-07,19.59,38.23,18.639999999999997,1951,3,7
1951-03-08,20.2,38.6,18.400000000000002,1951,3,8
1951-03-09,20.71,37.52,16.810000000000002,1951,3,9
1951-03-10,22.38,37.14,14.760000000000002,1951,3,10
1951-03-11,21.01,37.38,16.37,1951,3,11
1951-03-12,22.63,38.55,15.919999999999998,1951,3,12
1951-03-13,21.21,36.92,15.71,1951,3,13
1951-03-14,21.11,36.87,15.759999999999998,1951,3,14
1951-03-15,21.59,36.94,15.349999999999998,1951,3,15
1951-03-16,23.58,38.02,14.440000000000005,1951,3,16
1951-03-17,22.53,38.27,15.740000000000002,1951,3,17
1951-03-18,21.59,38.36,16.77,1951,3,18
1951-03-19,22.06,38.01,15.95,1951,3,19
1951-03-20,21.29,36.2,14.910000000000004,1951,3,20
1951-03-21,20.14,35.74,15.600000000000001,1951,3,21
1951-03-22,17.57,35.03,17.46,1951,3,22
1951-03-23,19.69,35.81,16.12,1951,3,23
1951-03-24,21.07,36.19,15.119999999999997,1951,3,24
1951-03-25,21.69,35.38,13.690000000000001,1951,3,25
1951-03-26,18.79,30.58,11.79,1951,3,26
1951-03-27,19.85,32.67,12.82,1951,3,27
1951-03-28,20.37,33.85,13.48,1951,3,28
1951-03-29,19.49,34.16,14.669999999999998,1951,3,29
1951-03-30,20.78,31.88,11.099999999999998,1951,3,30
1951-03-31,18.32,32.78,14.46,1951,3,31
1951-04-01,20.16,33.59,13.430000000000003,1951,4,1
1951-04-02,22.51,34.08,11.569999999999997,1951,4,2
1951-04-03,21.55,35.96,14.41,1951,4,3
1951-04-04,21.98,36.66,14.679999999999996,1951,4,4
1951-04-05,21.82,37.18,15.36,1951,4,5
1951-04-06,23.8,37.49,13.690000000000001,1951,4,6
1951-04-07,23.26,37.75,14.489999999999998,1951,4,7
1951-04-08,22.97,37.52,14.550000000000004,1951,4,8
1951-04-09,22.07,37.64,15.57,1951,4,9
1951-04-10,21.47,37.64,16.17,1951,4,10
1951-04-11,23.34,38.28,14.940000000000001,1951,4,11
1951-04-12,21.99,37.8,15.809999999999999,1951,4,12
1951-04-13,23.11,36.58,13.469999999999999,1951,4,13
1951-04-14,23.9,37.62,13.719999999999999,1951,4,14
1951-04-15,24.63,39.43,14.8,1951,4,15
1951-04-16,26.26,39.95,13.690000000000001,1951,4,16
1951-04-17,26.84,40.36,13.52,1951,4,17
1951-04-18,26.08,38.45,12.370000000000005,1951,4,18
1951-04-19,26.07,38.21,12.14,1951,4,19
1951-04-20,24.28,36.97,12.689999999999998,1951,4,20
1951-04-21,22.96,37.14,14.18,1951,4,21
1951-04-22,23.1,37.54,14.439999999999998,1951,4,22
1951-04-23,22.23,37.92,15.690000000000001,1951,4,23
1951-04-24,23.83,38.86,15.030000000000001,1951,4,24
1951-04-25,24.7,39.98,15.279999999999998,1951,4,25
1951-04-26,25.31,40.25,14.940000000000001,1951,4,26
1951-04-27,25.39,39.28,13.89,1951,4,27
1951-04-28,25.03,39.85,14.82,1951,4,28
1951-04-29,26.55,40.73,14.179999999999996,1951,4,29
1951-04-30,25.99,40.42,14.430000000000003,1951,4,30
1951-05-01,25.31,39.99,14.680000000000003,1951,5,1
1951-05-02,25.59,39.53,13.940000000000001,1951,5,2
1951-05-03,24.96,39.91,14.949999999999996,1951,5,3
1951-05-04,24.97,39.76,14.79,1951,5,4
1951-05-05,25.44,39.74,14.3,1951,5,5
1951-05-06,27.36,40.7,13.340000000000003,1951,5,6
1951-05-07,27.35,41.25,13.899999999999999,1951,5,7
1951-05-08,27.24,41.93,14.690000000000001,1951,5,8
1951-05-09,28.66,43.25,14.59,1951,5,9
1951-05-10,27.39,43.34,15.950000000000003,1951,5,10
1951-05-11,25.99,43.27,17.280000000000005,1951,5,11
1951-05-12,27.8,43.67,15.870000000000001,1951,5,12
1951-05-13,28.49,43.7,15.210000000000004,1951,5,13
1951-05-14,27.0,43.84,16.840000000000003,1951,5,14
1951-05-15,26.73,43.03,16.3,1951,5,15
1951-05-16,28.19,42.1,13.91,1951,5,16
1951-05-17,27.62,43.47,15.849999999999998,1951,5,17
1951-05-18,28.45,43.95,15.500000000000004,1951,5,18
1951-05-19,26.42,43.4,16.979999999999997,1951,5,19
1951-05-20,27.59,43.94,16.349999999999998,1951,5,20
1951-05-21,28.03,43.4,15.369999999999997,1951,5,21
1951-05-22,28.59,43.33,14.739999999999998,1951,5,22
1951-05-23,28.0,42.4,14.399999999999999,1951,5,23
1951-05-24,27.65,40.92,13.270000000000003,1951,5,24
1951-05-25,25.94,41.13,15.190000000000001,1951,5,25
1951-05-26,26.21,40.38,14.170000000000002,1951,5,26
1951-05-27,27.9,39.26,11.36,1951,5,27
1951-05-28,28.6,38.18,9.579999999999998,1951,5,28
1951-05-29,25.75,37.9,12.149999999999999,1951,5,29
1951-05-30,25.41,40.94,15.529999999999998,1951,5,30
1951-05-31,26.06,39.79,13.73,1951,5,31
1951-06-01,25.84,39.04,13.2,1951,6,1
1951-06-02,25.37,37.43,12.059999999999999,1951,6,2
1951-06-03,26.6,37.87,11.269999999999996,1951,6,3
1951-06-04,26.03,39.36,13.329999999999998,1951,6,4
1951-06-05,26.28,37.9,11.619999999999997,1951,6,5
1951-06-06,27.03,40.43,13.399999999999999,1951,6,6
1951-06-07,27.65,41.04,13.39,1951,6,7
1951-06-08,28.2,41.8,13.599999999999998,1951,6,8
1951-06-09,26.42,41.48,15.059999999999995,1951,6,9
1951-06-10,26.25,40.99,14.740000000000002,1951,6,10
1951-06-11,26.82,39.79,12.969999999999999,1951,6,11
1951-06-12,24.97,40.56,15.590000000000003,1951,6,12
1951-06-13,25.58,37.38,11.800000000000004,1951,6,13
1951-06-14,27.46,37.78,10.32,1951,6,14
1951-06-15,26.49,38.07,11.580000000000002,1951,6,15
1951-06-16,24.83,36.69,11.86,1951,6,16
1951-06-17,25.36,37.34,11.980000000000004,1951,6,17
1951-06-18,26.07,37.47,11.399999999999999,1951,6,18
1951-06-19,26.32,38.17,11.850000000000001,1951,6,19
1951-06-20,25.13,37.77,12.640000000000004,1951,6,20
1951-06-21,24.77,38.21,13.440000000000001,1951,6,21
1951-06-22,24.54,37.34,12.800000000000004,1951,6,22
1951-06-23,23.22,33.73,10.509999999999998,1951,6,23
1951-06-24,22.99,34.62,11.629999999999999,1951,6,24
1951-06-25,22.76,33.49,10.73,1951,6,25
1951-06-26,22.09,32.39,10.3,1951,6,26
1951-06-27,22.14,31.17,9.030000000000001,1951,6,27
1951-06-28,22.91,28.75,5.84,1951,6,28
1951-06-29,24.07,31.91,7.84,1951,6,29
1951-06-30,24.08,33.51,9.43,1951,6,30
1951-07-01,23.31,32.24,8.930000000000003,1951,7,1
1951-07-02,24.0,33.94,9.939999999999998,1951,7,2
1951-07-03,24.6,35.72,11.119999999999997,1951,7,3
1951-07-04,23.54,32.93,9.39,1951,7,4
1951-07-05,24.78,35.02,10.240000000000002,1951,7,5
1951-07-06,24.95,35.92,10.970000000000002,1951,7,6
1951-07-07,23.02,35.34,12.320000000000004,1951,7,7
1951-07-08,23.72,33.55,9.829999999999998,1951,7,8
1951-07-09,22.19,33.64,11.45,1951,7,9
1951-07-10,25.06,34.69,9.629999999999999,1951,7,10
1951-07-11,23.49,36.73,13.239999999999998,1951,7,11
1951-07-12,23.86,32.79,8.93,1951,7,12
1951-07-13,23.07,32.48,9.409999999999997,1951,7,13
1951-07-14,23.58,33.22,9.64,1951,7,14
1951-07-15,24.79,34.62,9.829999999999998,1951,7,15
1951-07-16,23.13,34.46,11.330000000000002,1951,7,16
1951-07-17,23.42,33.33,9.909999999999997,1951,7,17
1951-07-18,23.21,32.66,9.449999999999996,1951,7,18
1951-07-19,22.46,32.25,9.79,1951,7,19
1951-07-20,22.52,31.08,8.559999999999999,1951,7,20
1951-07-21,23.52,30.82,7.300000000000001,1951,7,21
1951-07-22,23.38,31.3,7.920000000000002,1951,7,22
1951-07-23,23.29,30.71,7.420000000000002,1951,7,23
1951-07-24,23.52,32.0,8.48,1951,7,24
1951-07-25,23.59,32.45,8.860000000000003,1951,7,25
1951-07-26,22.4,30.68,8.280000000000001,1951,7,26
1951-07-27,22.79,28.13,5.34,1951,7,27
1951-07-28,22.42,31.64,9.219999999999999,1951,7,28
1951-07-29,23.07,31.19,8.120000000000001,1951,7,29
1951-07-30,23.58,30.12,6.540000000000003,1951,7,30
1951-07-31,23.06,29.07,6.010000000000002,1951,7,31
1951-08-01,22.7,27.88,5.18,1951,8,1
1951-08-02,22.81,27.08,4.27,1951,8,2
1951-08-03,23.09,27.24,4.149999999999999,1951,8,3
1951-08-04,22.66,28.11,5.449999999999999,1951,8,4
1951-08-05,22.19,27.42,5.23,1951,8,5
1951-08-06,22.45,27.59,5.140000000000001,1951,8,6
1951-08-07,22.29,26.97,4.68,1951,8,7
1951-08-08,22.52,26.43,3.91,1951,8,8
1951-08-09,22.61,27.31,4.699999999999999,1951,8,9
1951-08-10,22.19,30.31,8.119999999999997,1951,8,10
1951-08-11,22.65,30.71,8.060000000000002,1951,8,11
1951-08-12,22.94,30.55,7.609999999999999,1951,8,12
1951-08-13,22.58,30.13,7.550000000000001,1951,8,13
1951-08-14,22.34,29.64,7.300000000000001,1951,8,14
1951-08-15,22.83,31.04,8.21,1951,8,15
1951-08-16,22.69,30.42,7.73,1951,8,16
1951-08-17,22.28,29.21,6.93,1951,8,17
1951-08-18,22.14,30.37,8.23,1951,8,18
1951-08-19,22.93,30.71,7.780000000000001,1951,8,19
1951-08-20,22.92,31.81,8.889999999999997,1951,8,20
1951-08-21,23.3,32.24,8.940000000000001,1951,8,21
1951-08-22,22.86,31.76,8.900000000000002,1951,8,22
1951-08-23,22.52,28.5,5.98,1951,8,23
1951-08-24,22.42,27.32,4.899999999999999,1951,8,24
1951-08-25,22.6,31.03,8.43,1951,8,25
1951-08-26,23.18,31.52,8.34,1951,8,26
1951-08-27,22.19,31.3,9.11,1951,8,27
1951-08-28,22.54,32.01,9.469999999999999,1951,8,28
1951-08-29,22.37,32.59,10.220000000000002,1951,8,29
1951-08-30,22.62,33.12,10.499999999999996,1951,8,30
1951-08-31,22.89,33.47,10.579999999999998,1951,8,31
1951-09-01,22.24,33.0,10.760000000000002,1951,9,1
1951-09-02,22.56,31.84,9.280000000000001,1951,9,2
1951-09-03,22.65,31.31,8.66,1951,9,3
1951-09-04,22.74,30.93,8.190000000000001,1951,9,4
1951-09-05,22.31,30.62,8.310000000000002,1951,9,5
1951-09-06,22.2,32.31,10.110000000000003,1951,9,6
1951-09-07,22.59,28.3,5.710000000000001,1951,9,7
1951-09-08,21.89,30.26,8.370000000000001,1951,9,8
1951-09-09,22.16,31.4,9.239999999999998,1951,9,9
1951-09-10,21.78,30.3,8.52,1951,9,10
1951-09-11,22.28,30.96,8.68,1951,9,11
1951-09-12,22.61,31.61,9.0,1951,9,12
1951-09-13,21.95,31.31,9.36,1951,9,13
1951-09-14,22.48,32.26,9.779999999999998,1951,9,14
1951-09-15,22.7,33.82,11.120000000000001,1951,9,15
1951-09-16,22.43,33.2,10.770000000000003,1951,9,16
1951-09-17,22.34,34.07,11.73,1951,9,17
1951-09-18,22.49,33.29,10.8,1951,9,18
1951-09-19,22.6,33.99,11.39,1951,9,19
1951-09-20,21.48,30.11,8.629999999999999,1951,9,20
1951-09-21,22.97,33.47,10.5,1951,9,21
1951-09-22,22.38,34.14,11.760000000000002,1951,9,22
1951-09-23,21.59,33.87,12.279999999999998,1951,9,23
1951-09-24,22.03,35.03,13.0,1951,9,24
1951-09-25,22.68,35.2,12.520000000000003,1951,9,25
1951-09-26,22.44,34.19,11.749999999999996,1951,9,26
1951-09-27,22.13,34.53,12.400000000000002,1951,9,27
1951-09-28,22.03,34.85,12.82,1951,9,28
1951-09-29,22.78,34.95,12.170000000000002,1951,9,29
1951-09-30,22.85,34.83,11.979999999999997,1951,9,30
