Year,AnnualRainfall_mm,MeanDailyRainfall_mm,ValidGridValues,ValidDays,LatitudeMin,LatitudeMax,LongitudeMin,LongitudeMax,SourceFile,Variable
1950,330.3488195610753,3.177099943781778,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1950_rfp25.nc,RAINFALL
1951,283.1122377825908,2.7228063836828893,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1951_rfp25.nc,RAINFALL
1952,303.04512956057573,2.9065460307371147,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1952_rfp25.nc,RAINFALL
1953,332.29540064909463,3.1958210116322103,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1953_rfp25.nc,RAINFALL
1954,327.7124308999857,3.1517447138824735,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1954_rfp25.nc,RAINFALL
1955,357.3836578547419,3.437105060001296,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1955_rfp25.nc,RAINFALL
1956,378.7282771319394,3.632433137011389,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1956_rfp25.nc,RAINFALL
1957,312.19660647845706,3.0025226734863146,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1957_rfp25.nc,RAINFALL
1958,352.76507009259024,3.3926862092271963,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1958_rfp25.nc,RAINFALL
1959,365.25648242324746,3.512821239424114,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1959_rfp25.nc,RAINFALL
1960,309.83128975340526,2.9716329932004806,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1960_rfp25.nc,RAINFALL
1961,376.47682796270544,3.6207318995257274,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1961_rfp25.nc,RAINFALL
1962,313.90282095413653,3.0189320371461075,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1962_rfp25.nc,RAINFALL
1963,317.3706760077535,3.0522838199995426,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1963_rfp25.nc,RAINFALL
1964,330.99712151615915,3.1746372928785083,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1964_rfp25.nc,RAINFALL
1965,264.02064730269643,2.539194736088784,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1965_rfp25.nc,RAINFALL
1966,289.7756581257344,2.7868912271696145,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1966_rfp25.nc,RAINFALL
1967,314.3688260297897,3.0234137988839778,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1967_rfp25.nc,RAINFALL
1968,287.27536635539286,2.7552961402797065,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1968_rfp25.nc,RAINFALL
1969,306.48481894665,2.947590072636374,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1969_rfp25.nc,RAINFALL
1970,339.7865567163112,3.2678665287060626,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1970_rfp25.nc,RAINFALL
1971,335.44039220474775,3.2260676839464493,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1971_rfp25.nc,RAINFALL
1972,262.79786674667713,2.5205291950618633,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1972_rfp25.nc,RAINFALL
1973,339.4193062583047,3.2643345305865092,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1973_rfp25.nc,RAINFALL
1974,303.9078321970199,2.922806135256927,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1974_rfp25.nc,RAINFALL
1975,369.4053740121912,3.5527228296628923,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1975_rfp25.nc,RAINFALL
1976,323.442725730946,3.1021820809568803,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1976_rfp25.nc,RAINFALL
1977,358.9337382041428,3.4520128177995,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1977_rfp25.nc,RAINFALL
1978,348.97185618126866,3.3562053169375727,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1978_rfp25.nc,RAINFALL
1979,294.19343739723024,2.82937882041653,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1979_rfp25.nc,RAINFALL
1980,336.3626271357112,3.226098568907,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1980_rfp25.nc,RAINFALL
1981,326.3144742857289,3.138299992371238,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1981_rfp25.nc,RAINFALL
1982,310.2309452237194,2.983618103855284,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1982_rfp25.nc,RAINFALL
1983,371.39157754920996,3.571824962838926,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1983_rfp25.nc,RAINFALL
1984,327.1797408475568,3.138024288583645,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1984_rfp25.nc,RAINFALL
1985,323.07580081140077,3.107152342663008,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1985_rfp25.nc,RAINFALL
1986,317.21130490867387,3.050751082844317,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1986_rfp25.nc,RAINFALL
1987,309.98554487581066,2.9812579881673256,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1987_rfp25.nc,RAINFALL
1988,370.2545753132541,3.551160738994424,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1988_rfp25.nc,RAINFALL
1989,318.0818098202392,3.0591230852303726,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1989_rfp25.nc,RAINFALL
1990,387.3146803222714,3.7249639660063707,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1990_rfp25.nc,RAINFALL
1991,323.36108325254924,3.1098960207816075,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1991_rfp25.nc,RAINFALL
1992,310.4518736154346,2.977585095329745,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1992_rfp25.nc,RAINFALL
1993,339.20695616515525,3.262292272739474,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1993_rfp25.nc,RAINFALL
1994,357.67881472987875,3.4399437045971815,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1994_rfp25.nc,RAINFALL
1995,345.3957405895487,3.321812348134153,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1995_rfp25.nc,RAINFALL
1996,334.0937391815697,3.2043373636143766,1816824,366,6.5,38.5,66.5,100.0,RF25_ind1996_rfp25.nc,RAINFALL
1997,332.02580562282856,3.193228205809772,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1997_rfp25.nc,RAINFALL
1998,344.20602503215105,3.310370366184447,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1998_rfp25.nc,RAINFALL
1999,311.53557865222007,2.9961652980539877,1811860,365,6.5,38.5,66.5,100.0,RF25_ind1999_rfp25.nc,RAINFALL
2000,288.51800732889996,2.767214474669094,1816824,366,6.5,38.5,66.5,100.0,RF25_ind2000_rfp25.nc,RAINFALL
2001,304.40452290383513,2.9275830132817857,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2001_rfp25.nc,RAINFALL
2002,266.32415781361806,2.561348540435575,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2002_rfp25.nc,RAINFALL
2003,331.89307934683967,3.1919517228347662,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2003_rfp25.nc,RAINFALL
2004,300.1932638394393,2.879193408360429,1816824,366,6.5,38.5,66.5,100.0,RF25_ind2004_rfp25.nc,RAINFALL
2005,347.34562959004995,3.3405652295341963,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2005_rfp25.nc,RAINFALL
2006,329.09912661335306,3.1650811346961945,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2006_rfp25.nc,RAINFALL
2007,335.58705259740435,3.2274781770303465,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2007_rfp25.nc,RAINFALL
2008,329.0453881378163,3.1559179591868385,1816824,366,6.5,38.5,66.5,100.0,RF25_ind2008_rfp25.nc,RAINFALL
2009,286.60695740785746,2.7564165341284705,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2009_rfp25.nc,RAINFALL
2010,356.2655384978684,3.426351648045461,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2010_rfp25.nc,RAINFALL
2011,327.2121360037551,3.1469331728913486,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2011_rfp25.nc,RAINFALL
2012,304.69604083425685,2.9223801397246936,1816824,366,6.5,38.5,66.5,100.0,RF25_ind2012_rfp25.nc,RAINFALL
2013,353.34445828245384,3.3982584228282295,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2013_rfp25.nc,RAINFALL
2014,295.41977550672726,2.8411730164542743,1811860,365,6.5,38.5,66.5,100.0,RF25_ind2014_rfp25.nc,RAINFALL
